,Negin,Xiaoyan,Sanjna,Negin-Sanjna-diff,Negin-Xiaoyan-diff,Xiaoyan-Sanjna-diff,rowwise_std,text
708160449,6.0,2.0,8.0,2.0,4.0,6.0,3.055050463303893,-JOHN DOE- Got inspired by G.O.T Joffrey Baratheon... both want their money's worth when they pay for sex. #pedogate#pizzagate
-2137930674,1.0,6.0,6.0,5.0,5.0,0.0,2.8867513459481287,".@NPR has been very upfront in its handling of the -JOHN DOE- incident. Thanks. See, things have gotten better since Bob Ewards was dumped."
-499318503,7.0,2.0,6.0,1.0,5.0,4.0,2.6457513110645907,-JOHN DOE- is former Gawker. Wonder what the women of Gawker dot com have to say about him being fired from Vox for sexual abuse.
-1745671005,2.0,7.0,3.0,1.0,5.0,4.0,2.6457513110645907,Why did you think Keith Ellison would be less inclined to deal with sexual assault than Mr. Perez? Has Mr. -JOHN DOE- faced any repercussions? Any comment @-JOHN DOE-? URL
26226402,4.0,8.0,9.0,5.0,4.0,1.0,2.6457513110645907,"threw up and took an hr-long shower after reading the -JOHN DOE- news. jesus f'ing christ, us NYU girls were familiar w/-JOHN DOE-. cannot deal today."
997670002,1.0,6.0,2.0,1.0,5.0,4.0,2.6457513110645907,"Google ""-JOHN DOE-"" you will be amazed at what you find."
275493381,5.0,9.0,10.0,5.0,4.0,1.0,2.6457513110645907,How about a -JOHN DOE- severed head photo for a knee slapping cover.
2117209600,5.0,5.0,1.0,4.0,0.0,4.0,2.3094010767585034,What's with all these Hollywood dudes being called out for sexual harassment recently? Now my cuz -JOHN DOE- 🤦🏾‍♂️
1953941146,6.0,7.0,3.0,3.0,1.0,4.0,2.0816659994661326,"Yeah, because we aren't about to elect -JOHN DOE- to the US Senate. #<OTHER TARGET 2>ChildMolestor"
-565592021,5.0,2.0,6.0,1.0,3.0,4.0,2.0816659994661326,Waiting to see if the right wing defenders accuse Anthony Edwards of lying about abuse from -JOHN DOE- for $$$ Or is it just the women that must be lying gold-diggers?
-1472392201,3.0,7.0,6.0,3.0,4.0,1.0,2.0816659994661326,-JOHN DOE- was following me since 2014 ew gross just blocked him
280342680,4.0,6.0,2.0,2.0,2.0,4.0,2.0,"With that name, you can only become a sexual harasser. ""-JOHN DOE-""...I mean...come on..."
-588868021,5.0,9.0,7.0,2.0,4.0,2.0,2.0,Whenever I see a picture of -JOHN DOE- I feel dirty—like I need to take a shower.
-1508637053,4.0,6.0,8.0,4.0,2.0,2.0,2.0,"I've tried to remain open minded to -JOHN DOE- over the years, but man, if Björk says you're a toxic garbage person...#DestroyPatriarchy"
542662861,6.0,4.0,8.0,2.0,2.0,4.0,2.0,"This -JOHN DOE- thing has my head spinning. He’s always seemed too crude, he did a joke about pedophiles and kids people! But now, NOW everyone wants to convict him?"
601939158,6.0,9.0,9.0,3.0,3.0,0.0,1.7320508075688772,This -JOHN DOE- story is terrible. No woman should ever be subjected to that type of abuse. Lock him up and throw away the key. Trash!
373477961,6.0,6.0,9.0,3.0,0.0,3.0,1.7320508075688772,Don’t ever believe -JOHN DOE-’s sins are in the past. At least five women abandoned their dream career because of -JOHN DOE- and DC Comics as an institution supported him while pushing them out. That’s for-fucking-ever.
-1029653438,6.0,3.0,6.0,0.0,3.0,3.0,1.7320508075688772,"In a completely unsurprising bit of news, -JOHN DOE- is a sexual predator."
998560487,5.0,2.0,5.0,0.0,3.0,3.0,1.7320508075688772,"-JOHN DOE-, <OTHER TARGET 2>, <OTHER TARGET 1> and now this? #SexualHarrasmentIsTheNewBlack"
1392413221,5.0,8.0,8.0,3.0,3.0,0.0,1.7320508075688772,Nah guys you can't really separate the film from the filmmaker-how can you watch any -JOHN DOE- film again w/o throwing up in your mouth
1931564228,5.0,2.0,5.0,0.0,3.0,3.0,1.7320508075688772,"<OTHER TARGET 3>, <OTHER TARGET 2>, -JOHN DOE- and now this? #SexualHarrasmentIsTheNewBlack"
1931898992,4.0,7.0,7.0,3.0,3.0,0.0,1.7320508075688772,"But painting all the people who work on the show with the same brush is basically harassing people who are also victims in this. The situation is already shit. Judgement for anyone but -JOHN DOE- is messy and honestly, not your place."
-865261317,4.0,7.0,7.0,3.0,3.0,0.0,1.7320508075688772,I’m so pleased to see that -JOHN DOE- is over he was so overrated anyway sorry NOT sorry xoxoxox your show is ass
2144391871,6.0,6.0,9.0,3.0,0.0,3.0,1.7320508075688772,"Okay,if no one else on twitter will say it directly and succinctly I will. Stop being pervs, you creepy,old,rich ASSHOLE men.#-JOHN DOE-"
-2095232212,1.0,4.0,4.0,3.0,3.0,0.0,1.7320508075688772,Taking bets on how fast -JOHN DOE-’s attorneys will ask to reschedule the hearing or to issue another gag order because all this media attention deprived him of his right to a fair trial
-1807675264,5.0,2.0,5.0,0.0,3.0,3.0,1.7320508075688772,"<OTHER TARGET 3>, -JOHN DOE-, <OTHER TARGET 1> and now this? #SexualHarrasmentIsTheNewBlack"
170356004,7.0,8.0,10.0,3.0,1.0,2.0,1.5275252316519468,Firing -JOHN DOE- doesn't even meet the bare minimum for DC Comics now. Everyone who enabled it and kept him employed for years after knowing must be fired as well.
-814846277,7.0,8.0,10.0,3.0,1.0,2.0,1.5275252316519468,-JOHN DOE- has to be gone. The republicans need to take him off. If they don't they are saying pedophile is ok and excepted anywhere. Why would we have Megan's law if it is ok. Tell everyone that's what we stand for... I don't. Get him out. People lead by example. It's ok. Hurtkid
-807255547,5.0,2.0,3.0,2.0,3.0,1.0,1.5275252316519468,"Please don't let -JOHN DOE- be a nonce aswell, I'm running out of people to look up to"
-1097252718,5.0,8.0,7.0,2.0,3.0,1.0,1.5275252316519465,I'm totally shocked and disgusted and mad! What a piece of 💩. Both George and his cohort. Where is #-JOHN DOE- now? Still in NY?
206154802,5.0,4.0,2.0,3.0,1.0,2.0,1.5275252316519465,"A few days after an enlightening lecture on socialist feminism at our Praxis Party, @immerspaetlin goes in on the -JOHN DOE- scandal. #thread URL"
-1610792554,2.0,4.0,1.0,1.0,2.0,3.0,1.5275252316519465,-JOHN DOE- gets the Leslie Knope eye roll. URL
255454761,4.0,6.0,7.0,3.0,2.0,1.0,1.5275252316519465,"Now that explains a lot. I used to look up to -JOHN DOE-, not anymore. Always grateful to @HilarieBurton @SophiaBush @BethanyJoyLenz for their inspiring work."
1497611886,4.0,6.0,7.0,3.0,2.0,1.0,1.5275252316519465,"To hell with <OTHER TARGET 1>, <OTHER TARGET 3>, and -JOHN DOE-."
1525672857,3.0,2.0,5.0,2.0,1.0,3.0,1.5275252316519465,-JOHN DOE- is a doltish hack. Not surprised.
-1354172106,4.0,7.0,6.0,2.0,3.0,1.0,1.5275252316519465,-JOHN DOE- is a real shitty person's name i guess
-581212006,5.0,8.0,7.0,2.0,3.0,1.0,1.5275252316519465,a tv dude in belgium got fired over sending sexts how does -JOHN DOE- still have a job pls take him out with the trash
-604059006,5.0,7.0,8.0,3.0,2.0,1.0,1.5275252316519465,my dad left me at a young age and what -JOHN DOE- done and did is a much bigger betrayal now I gotta get my favourite tattoo covered thaNKS
272439790,4.0,6.0,7.0,3.0,2.0,1.0,1.5275252316519465,"To hell with -JOHN DOE-, <OTHER TARGET 3>, and <OTHER TARGET 2>."
-1588474086,4.0,6.0,3.0,1.0,2.0,3.0,1.5275252316519465,But other than the Fierce Five showing support for McKayla online (except one member) very few showed support for victims of -JOHN DOE- or spoken out against USAG
-770802575,5.0,4.0,2.0,3.0,1.0,2.0,1.5275252316519465,Everyone who worked 4 ABC knew about -JOHN DOE-=Another instance where women with best jobs turned their head about sexual harassement
-814295255,4.0,6.0,7.0,3.0,2.0,1.0,1.5275252316519465,Fuck -JOHN DOE- and absolutely fuck this trash ass cult URL
1697987372,4.0,6.0,7.0,3.0,2.0,1.0,1.5275252316519465,Every -JOHN DOE- pic I've seen today makes me feel like he's leering at me.
1702719088,4.0,6.0,7.0,3.0,2.0,1.0,1.5275252316519465,"To hell with <OTHER TARGET 1>, -JOHN DOE-, and <OTHER TARGET 2>."
